emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
neutral,0.42685902,0.23898591,0.15459146,0.42955282,0.1095039,1.0,0.25510943,0.048624236,0.0,0.19096364,0.24262564,0.1769309,0.43638086,0.0,0.4823421,0.354282,0.021481713,0.05905317,0.379988,0.15414411
neutral,0.35560068,0.40153733,0.10486751,0.392452,0.10157443,0.0,0.09306247,0.012941142,0.0,0.031077059,0.27701467,0.16329654,0.5447649,0.0,0.3332238,0.3324475,0.15745069,0.15548664,0.069872685,0.03784041
surprise,0.29900825,0.25928494,0.6079192,0.29223165,0.2556594,0.0,0.39929038,0.04591775,0.0,0.12902284,0.19902775,0.2351247,0.35537958,1.0,0.29442188,0.325829,0.9405991,0.32886568,0.06327782,0.2590569
neutral,0.24593711,0.14541382,0.2655987,0.34773386,0.1319505,0.0,0.14213061,0.08572862,0.0,0.10184642,0.624502,0.27759218,0.4340541,0.0,0.8138602,0.67394954,0.0201825,0.10539767,0.19171932,0.052771885
surprise,0.4460677,0.27790958,0.44315886,0.35705438,0.10368866,1.0,0.49801165,0.060635675,0.0,0.2080454,0.33912513,0.05304569,0.3912168,1.0,0.6717631,0.44160888,0.4754954,0.23661026,0.1396075,0.17720214
angry,0.53856456,0.30413485,0.4603022,0.41986227,0.553558,1.0,0.57489735,0.9833999,0.0,0.7249785,0.523421,0.15995835,0.28170156,1.0,0.36729172,0.065001935,0.9998172,0.6847397,0.052013133,0.4758021
neutral,0.22205323,0.2756802,0.10917862,0.4073934,0.4387352,1.0,0.37353492,0.022949459,1.0,0.349917,0.53342897,0.16939934,0.49040604,0.0,0.50539845,0.4727944,0.024297968,0.029891524,0.20713377,0.12474977
happy,0.35571954,0.29516557,0.46465293,0.2626047,0.5667955,1.0,0.5352327,0.18531106,1.0,0.70835084,0.6205357,0.065743685,0.3960147,1.0,0.49310127,0.53013736,0.04526082,0.116807885,0.46486598,0.76786596
neutral,0.32388657,0.16877429,0.3487286,0.56198645,0.15701449,0.0,0.25018293,0.00028841142,1.0,0.10099356,0.20383133,0.35046336,0.4570146,0.0,0.23337214,0.3464654,0.6249948,0.1704336,0.122964315,0.12969889
neutral,0.35565197,0.2826756,0.049312558,0.34542322,0.15753274,0.0,0.14095272,0.04308603,0.0,0.047002263,0.48468074,0.103735656,0.45456964,0.0,0.5616117,0.6516092,0.011971303,0.088206954,0.18267342,0.039386783
neutral,0.29722753,0.38009897,0.51533073,0.29496226,0.18236469,0.0,0.43905452,0.001700716,0.0,0.21903373,0.3442812,0.04590668,0.4292479,1.0,0.39265686,0.44801438,0.07480678,0.1443273,0.16309553,0.7944551
angry,0.2546496,0.2817755,0.8975685,0.23484474,0.4303737,1.0,0.3744034,0.017957866,1.0,0.5733934,0.40036595,0.35495055,0.3308349,1.0,0.45316172,0.04866427,0.99663097,0.66067994,0.028407492,0.65577537
angry,0.32119542,0.15857896,0.9375776,0.30886436,0.09663821,1.0,0.22609784,0.02360475,0.0,0.0202975,0.36511075,0.48528773,0.46085033,0.0,0.4249072,0.5272718,0.30868056,0.22971714,0.37686494,0.1133895
happy,0.43693006,0.3752403,0.7652178,0.27845663,0.44855374,0.0,0.4810861,0.049907546,1.0,0.7068633,0.58328617,0.09579901,0.48789164,0.0,0.53596246,0.51315975,0.73140466,0.089046344,0.18323709,0.4387832
sad,0.43123308,0.2107001,0.48915368,0.32572362,0.13806503,1.0,0.37964648,0.71056616,1.0,0.2778271,0.658765,0.61374116,0.5417688,0.0,0.5780627,0.7404453,0.0035983026,0.06693806,0.2998708,0.20397514
neutral,0.38587543,0.2901659,0.1317763,0.30229428,0.27535796,0.0,0.2928957,0.0042722323,0.0,0.04583793,0.27323008,0.08873325,0.53105336,0.0,0.3985527,0.35538042,0.046120297,0.11957962,0.17482533,0.5113846
angry,0.3199798,0.18208177,0.743291,0.3314549,0.35468823,1.0,0.5346233,0.34335896,1.0,0.33064088,0.385718,0.3778841,0.50683963,0.0,0.19322829,0.5159733,0.988206,0.31130219,0.027577251,0.3473092
happy,0.34362963,0.32611266,0.5159796,0.26222283,0.6624686,1.0,0.52020895,0.043871414,1.0,0.89845854,0.7597345,0.13825823,0.50216466,0.0,0.39896047,0.42812213,0.47306085,0.25981078,0.4101919,0.8190217
neutral,0.23448746,0.1542476,0.33912504,0.25279513,0.4390576,1.0,0.2504237,0.40225524,1.0,0.23940687,0.48782706,0.136451,0.6199866,0.0,0.31271315,0.41652414,0.023617057,0.11219508,0.094928525,0.33424962
happy,0.32373378,0.32376242,0.5878279,0.25817376,0.32770726,0.0,0.56019974,0.03513129,1.0,0.65952945,0.49517727,0.5605869,0.5551796,0.0,0.41856655,0.48839006,0.33642593,0.09405972,0.3235673,0.750573
surprise,0.25978434,0.20029257,0.20632908,0.2815575,0.27660602,0.0,0.34592924,0.68415713,1.0,0.2093666,0.21168827,0.3678362,0.38188255,1.0,0.42501143,0.5603769,0.9866873,0.37950087,0.36781764,0.26167923
fear,0.23290613,0.17757459,0.36500266,0.28627333,0.29104295,1.0,0.3229208,0.024489636,0.0,0.18645933,0.3099534,0.28378597,0.49955165,0.0,0.67642635,0.4991228,0.7525713,0.03500565,0.59091276,0.4619531
surprise,0.5160609,0.21926907,0.4790793,0.3410594,0.12535655,1.0,0.4261659,0.0500011,0.0,0.21105918,0.16999555,0.073390804,0.3196144,1.0,0.4532705,0.11890426,0.96447533,0.14220284,0.046250384,0.26190412
